,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
34,f,f,j,j,e,d,i,i,f,d,e,j,f,f,i,d,i,d,g,d,d,g,d,e,f,e,j,d,c,d,h,i,e,f,f,f,g,i,c,f,d,g,g,i,f
35,g,g,j,j,e,e,i,i,g,d,e,j,f,g,h,e,i,d,g,d,e,h,d,f,f,e,j,e,d,d,g,i,g,f,f,f,g,h,d,f,d,g,g,i,e
36,g,g,j,j,e,e,i,i,f,e,d,j,f,f,i,f,j,e,g,d,e,h,d,g,g,e,j,d,d,d,g,h,i,f,f,f,g,h,e,f,e,g,f,i,e
37,g,e,j,j,e,d,h,i,e,d,d,j,f,g,g,e,j,e,g,c,e,h,d,f,e,d,j,e,c,d,g,g,h,e,f,f,g,g,e,e,e,g,f,i,e
38,g,d,j,j,e,d,h,i,e,e,e,j,f,g,f,d,j,e,g,d,e,g,d,e,d,d,j,e,e,e,h,g,h,f,f,f,h,h,h,e,e,g,e,i,e
39,g,d,j,i,d,c,h,h,d,e,d,j,d,f,f,c,i,e,e,c,e,g,d,d,d,f,j,f,h,d,g,f,h,f,f,e,h,g,i,e,f,g,e,h,e
40,h,d,j,i,d,c,i,i,e,d,d,j,d,e,e,d,i,f,f,c,e,f,d,d,c,h,i,e,i,d,h,g,h,f,f,e,i,h,j,f,g,h,e,i,e
41,h,c,j,i,d,c,i,h,e,d,c,j,d,e,d,f,i,f,e,c,f,f,d,d,c,g,i,f,h,e,h,g,h,f,f,e,h,h,j,f,g,g,e,i,f
42,h,c,j,i,d,c,h,h,e,d,c,j,e,e,d,e,i,g,f,c,f,h,c,d,c,e,i,f,i,f,i,f,i,f,f,e,h,h,i,g,h,g,d,i,e
43,h,c,h,h,e,d,g,h,f,d,c,h,f,e,d,f,h,g,f,c,f,h,c,d,d,d,h,g,i,g,h,f,i,f,f,e,h,g,h,h,h,g,d,i,e
44,h,c,h,h,d,c,h,h,e,d,c,h,f,e,d,f,g,g,f,c,g,h,c,c,c,f,h,g,i,f,h,e,i,e,e,d,g,f,h,h,h,g,c,h,d
