Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
12-05-20,11.72000027,89.20838928,11.90999985,26.30999947,15.54545403,14.39999962,9.12250042,17.60000038,20.37000084,7.820000172,89.20838928,10.98999977,3.539999962,4.360000134,5.428999901,14.86750031,7.880000114,13.06000042,6.78000021,0.189999998,10.18200016,7.429880142,8.180000305,21.61000061,23.73999977,26.16124153,11.02000046,18.38999939,33.08000183,13.69999981,13.61999989,0.629999995,18.87000084,18.13999939,3.25,4.159999847,19.52000046,48.54999924,13.72999954,4.590000153,47.45999908,1.18799901,8.550000191,7.070000172
13-05-20,11.26000023,91.10198212,12.05333328,25.54999924,15.40909004,14.36999989,9.387499809,17.29999924,22.85000038,7.989999771,91.10198212,10.90999985,3.329999924,4.150000095,5.415999889,14.75749969,7.519999981,12.59000015,6.190000057,0.189999998,9.784000397,6.847688198,8.220000267,21.60000038,25.25,27.14902306,10.68999958,18.01000023,31.78000069,13.77499962,13.22999954,0.600000024,18.12999916,17.59000015,3.109999895,4.052000046,19.60000038,50.59000015,13.47999954,4.349999905,48.54000092,1.170398951,9.140000343,7.090000153
14-05-20,11.73999977,88.5506134,12.60666561,26.64999962,16.25454521,14.32999992,9.529999733,18.54999924,23.05999947,8.609999657,88.5506134,11.46000004,3.549999952,4.199999809,5.570000172,14.76749992,8.390000343,13.63000011,6.570000172,0.189999998,9.482000351,6.505765915,8.520000458,22.54999924,24.45000076,27.10911179,11.39999962,18,33.29999924,13.875,13.51000023,0.610000014,17.69000053,17.39999962,3.299999952,4.203999996,20.54000092,47.54000092,15,4.550000191,48.09000015,1.12639904,9.020000458,7.260000229
15-05-20,11.64000034,85.77997589,13.18000031,26.14999962,15.5545454,14.39000034,9.347499847,18.20999908,22.65999985,8.399999619,85.77997589,10.97000027,3.470000029,4.210000038,5.625,14.4375,7.880000114,12.64999962,6.230000019,0.189999998,9.380000114,6.191566944,8.140000343,21.62999916,23.32999992,26.45059013,12.43000031,19.72999954,33.41999817,13.78250027,13.60000038,0.600000024,17.70000076,17.14999962,3.150000095,4.164000034,19.65999985,45.02999878,14.15999985,4.510000229,48.04999924,1.143998981,8.680000305,7.139999866
18-05-20,12.10000038,83.83654785,13.99666595,27.39999962,16.37272644,12.96000004,10.18249989,19.01000023,21.73999977,9,83.83654785,11.82999992,3.700000048,4.650000095,5.873000145,15.27750015,8.279999733,13.52999973,6.590000153,0.189999998,9.907999992,6.792241096,8.539999962,22.67000008,21.79000092,26.82974052,13.44999981,20.57999992,36.20000076,13.9375,15.47999954,0.610000014,19.42000008,18.54000092,3.230000019,5,20.84000015,41.18000031,15.09000015,4.900000095,51.25999832,1.17919898,8.869999886,7.739999771
19-05-20,11.93999958,91.84945679,13.57333279,26.65999985,15.89090919,13.60000038,10.375,19.35000038,22,9.050000191,91.84945679,12.11999989,3.599999905,4.610000134,5.765999794,15.625,8.739999771,13.39000034,6.440000057,0.189999998,10.07800007,6.515007019,8.239999771,21.69000053,21.29999924,27.74767876,13.80000019,20.20999908,36.79000092,14.64500046,15.13000011,0.600000024,19.29999924,18.68000031,3.329999924,5.400000095,20.12000084,41.75999832,15.14000034,4.829999924,52.29999924,1.19679904,9.289999962,7.420000076
20-05-20,12.14000034,88.23168945,13.54666615,27.32999992,16.05454445,13.15999985,10.74250031,19.54999924,22.46999931,9.470000267,88.23168945,12.69999981,3.559999943,4.570000172,5.671999931,15.85249996,8.569999695,14,6.579999924,0.189999998,10.18000031,7.032511234,8.25,21.60000038,21.04999924,26.77985191,13.97000027,20.56999969,38.27999878,14.22500038,15.06999969,0.629999995,19.87999916,19.29999924,3.390000105,5.251999855,20.32999992,40.25,15.46000004,5.050000191,52.5,1.20559895,9.159999847,7.550000191
21-05-20,11.88000011,86.30818939,14.53999996,29.26000023,16.94545364,12.68000031,11.74750042,21.02000046,21.79999924,10.21000004,86.30818939,14.18000031,3.480000019,4.699999809,5.999000072,16.38999939,8.520000458,15.53999996,6.590000153,0.189999998,10.48200035,6.515007019,8.68999958,22.84000015,20.39999962,26.78982925,13.92000008,20.72999954,40.77000046,14.57250023,15.27999973,0.649999976,19.95000076,19.19000053,3.50999999,5.5,20.61000061,38.47999954,16.45000076,4.96999979,51.13000107,1.143998981,9.489999771,7.639999866
22-05-20,11.73999977,84.86307526,14.62666607,28.51000023,17.04545403,12.85999966,11.51749992,20.12999916,21.76000023,9.649999619,84.86307526,13.47000027,3.410000086,4.300000191,5.916999817,15.74750042,8.5,14.88000011,6.46999979,0.189999998,10.43999958,6.625899792,8.859999657,22.95999908,20.64999962,25.29319191,13.30000019,19.81999969,37.36999893,14.41250038,14.93000031,0.639999986,19.52000046,18.67000008,3.470000029,5.380000114,20.88999939,38.61000061,16.10000038,4.71999979,50.27000046,1.11759901,9.699999809,7.510000229
25-05-20,12.27000046,87.08556366,15.5,31.5,18.25454521,12.63000011,12.48499966,22.21999931,21.75,10.18000031,87.08556366,14.30000019,3.680000067,4.730000019,6.252999783,15.9375,8.640000343,16.72999954,6.860000134,0.189999998,10.84799957,7.208093166,9.239999771,23.95999908,20.78000069,25.69229507,13.89999962,20.11000061,40.36999893,15.10000038,16.73999977,0.689999998,20.34000015,19.47999954,3.789999962,5.796000004,21.29999924,37.70000076,17,4.880000114,50.09999847,1.18799901,11.21000004,8.479999542
26-05-20,12.52999973,95.07853699,15.5,30.79000092,17.4636364,12.82999992,12.30249977,21.46999931,22.5,10.02999973,95.07853699,14.68999958,3.809999943,4.809999943,6.170000076,15.97000027,8.529999733,16.14999962,6.639999866,0.189999998,10.96199989,6.82920599,8.920000076,23.01000023,20.67000008,26.83971786,13.85000038,20.60000038,38.15000153,16.12000084,16.32999992,0.660000026,20.54999924,19.67000008,3.779999971,5.760000229,21.40999985,37.88000107,17.10000038,4.900000095,49.20000076,1.170398951,11.56999969,8.329999924
